"Constituency","Party","Sex","Average age"
"Vaasa constituency","SDP","Women",41.5
"Vaasa constituency","PS","Men",43.4
"Vaasa constituency","PS","Women",55.6
"Vaasa constituency","KESK","Men",46.7
"Vaasa constituency","KESK","Women",44.0
"Vaasa constituency","VAS","Men",41.3
"Vaasa constituency","VAS","Women",41.3
"Vaasa constituency","VIHR","Men",40.2
"Vaasa constituency","VIHR","Women",33.0
"Vaasa constituency","RKP","Men",45.8
"Vaasa constituency","RKP","Women",43.6
"Vaasa constituency","KD","Men",54.7
"Vaasa constituency","KD","Women",49.0
"Vaasa constituency","STP","Men",57.0
"Vaasa constituency","STP","Women",-
"Vaasa constituency","IP","Men",45.9
"Vaasa constituency","IP","Women",64.3
"Vaasa constituency","Change2011","Men",69.5
"Vaasa constituency","Change2011","Women",54.0
"Vaasa constituency","KA","Men",-
"Vaasa constituency","KA","Women",-
"Vaasa constituency","Pirate Pty","Men",29.0
"Vaasa constituency","Pirate Pty","Women",26.0
"Vaasa constituency","SKP","Men",64.0
"Vaasa constituency","SKP","Women",57.0
"Vaasa constituency","KTP","Men",57.0
"Vaasa constituency","KTP","Women",-
"Vaasa constituency","Others","Men",36.0
"Vaasa constituency","Others","Women",-
"Central Finland constituency","KOK","Men",42.3
"Central Finland constituency","KOK","Women",42.3
"Central Finland constituency","SDP","Men",50.0
"Central Finland constituency","SDP","Women",37.1
"Central Finland constituency","PS","Men",52.4
"Central Finland constituency","PS","Women",45.4
"Central Finland constituency","KESK","Men",43.1
"Central Finland constituency","KESK","Women",48.6
"Central Finland constituency","VAS","Men",45.9
"Central Finland constituency","VAS","Women",41.4
"Central Finland constituency","VIHR","Men",41.2
"Central Finland constituency","VIHR","Women",38.8
"Central Finland constituency","RKP","Men",-
"Central Finland constituency","RKP","Women",-
"Central Finland constituency","KD","Men",49.0
"Central Finland constituency","KD","Women",43.5
"Central Finland constituency","STP","Men",28.0
"Central Finland constituency","STP","Women",-
"Central Finland constituency","IP","Men",44.3
"Central Finland constituency","IP","Women",66.3
"Central Finland constituency","Change2011","Men",32.0
"Central Finland constituency","Change2011","Women",-
"Central Finland constituency","KA","Men",-
"Central Finland constituency","KA","Women",-
"Central Finland constituency","Pirate Pty","Men",30.0
"Central Finland constituency","Pirate Pty","Women",26.0
"Central Finland constituency","SKP","Men",50.0
"Central Finland constituency","SKP","Women",44.2
"Central Finland constituency","KTP","Men",66.0
"Central Finland constituency","KTP","Women",-
"Central Finland constituency","Others","Men",47.0
"Central Finland constituency","Others","Women",-
"Oulu constituency","KOK","Men",51.1
"Oulu constituency","KOK","Women",45.0
"Oulu constituency","SDP","Men",42.9
"Oulu constituency","SDP","Women",43.7
"Oulu constituency","PS","Men",47.7
"Oulu constituency","PS","Women",46.2
"Oulu constituency","KESK","Men",47.7
"Oulu constituency","KESK","Women",45.3
"Oulu constituency","VAS","Men",41.4
"Oulu constituency","VAS","Women",41.6
"Oulu constituency","VIHR","Men",42.0
"Oulu constituency","VIHR","Women",46.1
"Oulu constituency","RKP","Men",45.9
"Oulu constituency","RKP","Women",46.7
"Oulu constituency","KD","Men",55.5
"Oulu constituency","KD","Women",54.2
"Oulu constituency","STP","Men",-
"Oulu constituency","STP","Women",-
"Oulu constituency","IP","Men",37.8
"Oulu constituency","IP","Women",47.0
"Oulu constituency","Change2011","Men",48.1
"Oulu constituency","Change2011","Women",-
"Oulu constituency","KA","Men",-
"Oulu constituency","KA","Women",-
"Oulu constituency","Pirate Pty","Men",32.7
"Oulu constituency","Pirate Pty","Women",25.0
"Oulu constituency","SKP","Men",42.8
"Oulu constituency","SKP","Women",53.0
"Oulu constituency","KTP","Men",59.0
"Oulu constituency","KTP","Women",-
"Oulu constituency","Others","Men",-
"Oulu constituency","Others","Women",-
"Lapland constituency","KOK","Men",49.3
"Lapland constituency","KOK","Women",48.9
"Lapland constituency","SDP","Men",46.3
"Lapland constituency","SDP","Women",39.5
"Lapland constituency","PS","Men",53.4
